id_produto,nome_produto,categoria,preco
1,A simplicidade de evoluir antes de tudo,Esportes,247.31
2,O conforto de atingir seus objetivos de maneira eficaz,Roupas,462.39
3,O prazer de concretizar seus projetos mais facilmente,Eletrônicos,
4,A liberdade de concretizar seus projetos direto da fonte,Casa e Cozinha,158.21
5,O prazer de concretizar seus projetos simplesmente,Casa e Cozinha,315.76
6,A arte de conseguir em estado puro,Esportes,18.42
7,A possibilidade de atingir seus objetivos mais rapidamente,Livros,374.56
8,O direito de concretizar seus projetos direto da fonte,Eletrônicos,83.64
9,O poder de mudar com confiança,Casa e Cozinha,26.95
10,A vantagem de avançar com confiança,Casa e Cozinha,215.85
11,A arte de realizar seus sonhos com confiança,Esportes,405.02
12,A segurança de evoluir antes de tudo,Eletrônicos,90.45
13,A certeza de realizar seus sonhos com toda a tranquilidade,Roupas,270.9
14,O prazer de inovar em estado puro,Eletrônicos,492.78
15,O conforto de avançar mais rapidamente,Roupas,242.21
16,A liberdade de avançar direto da fonte,Roupas,329.28
17,A segurança de inovar de maneira eficaz,Livros,157.23
18,A vantagem de evoluir antes de tudo,Roupas,141.72
19,O poder de atingir seus objetivos simplesmente,Eletrônicos,126.54
20,A simplicidade de concretizar seus projetos em estado puro,Roupas,431.3
21,A arte de mudar com força total,Esportes,482.22
22,A certeza de evoluir de maneira eficaz,Casa e Cozinha,267.98
23,A certeza de concretizar seus projetos de maneira eficaz,Casa e Cozinha,130.81
24,A liberdade de ganhar em estado puro,Eletrônicos,241.74
25,O direito de mudar simplesmente,Eletrônicos,420.63
26,A vantagem de atingir seus objetivos antes de tudo,Roupas,382.09
27,A simplicidade de avançar antes de tudo,Casa e Cozinha,-1.0
28,A certeza de concretizar seus projetos mais rapidamente,Livros,441.34
29,A vantagem de evoluir com força total,Livros,181.19
30,A possibilidade de concretizar seus projetos com confiança,Roupas,227.27
